,blank,enzyme,Arachadonic_Acid_0.5µl,Arachadonic_Acid_1.0µl,Arachadonic_Acid_1.5µl,Arachadonic_Acid_2.0µl,Arachadonic_Acid_2.5µl,Arachadonic_Acid_3.0µl,Arachadonic_Acid_3.5µl,Arachadonic_Acid_4.0µl,Arachadonic_Acid_4.5µl,Arachadonic_Acid_5.0µl,Arachadonic_Acid_6.0µl,Arachadonic_Acid_7.0µl,Arachadonic_Acid_8.0µl,Arachadonic_Acid_9.0µl,Arachadonic_Acid_10.0µl
790,0.0018944747279999999,0.008764222264000001,0.009174779058,0.0101641817,0.01099011675,0.009572253563,0.01854481548,0.01736358739,0.01408902649,0.01166419778,0.014341440980000003,0.01302078739,0.02672616392,0.01922056079,0.016076194119999998,0.02301171981,0.02463125624
789,-0.002194185741,0.006501615047000001,0.011698979879999998,0.005907858722,0.010510024609999998,0.01069360878,0.01512569655,0.01691136137,0.01455540024,0.012246630149999998,0.009732568637,0.01770965941,0.01986649446,0.01896380819,0.01764028892,0.01897132583,0.020724682140000002
788,0.0016451106640000001,0.008150696754,0.009335317648999999,0.01016195584,0.01028953958,0.009525814094,0.0156086944,0.01810323261,0.013076593170000001,0.012872452849999999,0.0122129228,0.015901973469999997,0.02234556153,0.01095302869,0.02096726373,0.01320154034,0.02167552523
787,-0.001597071532,0.008154732175,0.011684806090000001,0.009896676987,0.008930792101,0.01314710639,0.014046806840000002,0.015884278340000002,0.014327902350000001,0.01055240538,0.01496102102,0.01307664625,0.015973431990000002,0.021411444989999997,0.01578964293,0.02227956057,0.017068620769999997
786,-0.0048790206200000005,0.009253651835,0.009541346692,0.009501948021,0.0069874222389999996,0.01125085726,0.01410314534,0.01719625667,0.010501749809999999,0.013261212040000001,0.01180257089,0.01002360042,0.015749027949999998,0.02066245675,0.0155503368,0.01860176772,0.022473232819999998
785,0.0002452870249,0.007995525375,0.01106138155,0.009405913763,0.01249211468,0.013802660630000001,0.013079633940000002,0.01603461243,0.011831671,0.01259109844,0.009982728399,0.01713448018,0.023403847590000002,0.01873288304,0.01662385464,0.02516743727,0.021667389199999998
784,0.002403341932,0.009594139643,0.01078066602,0.007866135798,0.01421921421,0.01138575003,0.017622819169999998,0.018062645569999997,0.0137968082,0.008887934497999999,0.016860738400000002,0.015942037109999998,0.023305537180000002,0.01799346134,0.01532644685,0.021403204649999997,0.01650329679
783,-6.947237853e-05,0.006997707766,0.011164209809999999,0.005194336176,0.008675111458,0.01183962449,0.01395890489,0.01510889176,0.013716010380000001,0.010620972140000002,0.008177943528,0.012196256780000001,0.023210907349999997,0.02055032551,0.01730429195,0.02085432224,0.01926696673
782,-0.0004224605508999999,0.0103316335,0.01258989889,0.011746077800000001,0.01203697175,0.012779803020000001,0.01840589941,0.020928038280000002,0.01578805782,0.014648724350000001,0.012964403259999998,0.014030684719999999,0.023221639920000002,0.0210917592,0.01795808971,0.01981856115,0.018356991930000004
781,8.993716618999997e-05,0.005316983443,0.008927357383,0.007260141429,0.01031185873,0.0066221351740000005,0.0122642573,0.01887563616,0.014534869230000002,0.01243840903,0.011843774469999999,0.009234904311999999,0.02403436787,0.019589535890000002,0.016962526369999998,0.014313964169999999,0.019140830259999998
780,0.00032973117780000003,0.009312995709,0.01132949721,0.009951896966,0.011599428020000002,0.01118240319,0.01562863216,0.02028380707,0.01547422726,0.014391636480000001,0.014877514909999999,0.011269665320000002,0.023683030159999997,0.01766703278,0.01904989034,0.01713752374,0.02418615483
779,0.00018245674439999998,0.008468569256,0.007199077867,0.009405649266999999,0.00784918759,0.014361721459999999,0.01420145389,0.01760386862,0.01439043228,0.010565613400000002,0.013490367680000002,0.01473151706,0.02384300716,0.01910755783,0.01949054189,0.0195963867,0.020978484300000003
778,-0.002119951881,0.0062589151780000005,0.02003355511,0.008476302959,0.00957042817,0.009707421064,0.012941520659999999,0.01751987822,0.014217047019999996,0.013076992709999999,0.01060508285,0.0140812723,0.02297190018,0.017443235959999998,0.021578367799999998,0.0204839725,0.02367532067
777,-0.0005492633791,0.013660790400000001,0.008618865162,0.009447366931,0.009381101467,0.009560795501,0.01870269515,0.02134936489,0.01437793579,0.014160908759999999,0.01504250709,0.01610520482,0.02257934399,0.02017855272,0.01617220975,0.024948954580000002,0.023604279380000003
776,0.0016664442370000001,0.008447610773,0.00977349747,0.01270473842,0.01156372298,0.01051935926,0.016695860769999998,0.018669996409999997,0.014088571999999999,0.01142590493,0.0151994396,0.01505373605,0.021824911239999998,0.023439882319999997,0.0160979256,0.01876345091,0.01921747625
775,0.0003033859539,0.00813487079,0.009189848787999999,0.0067160311159999994,0.0070810546169999995,0.007947988808,0.013899832030000002,0.0204887744,0.01312888321,0.009756474756,0.011929706670000002,0.012639279479999998,0.0208466351,0.02384962514,0.01779983379,0.01945648342,0.02151199244
