blank,,bm3,,dmso_1.0,,dmso_2.0,,Palmitic_acid_0.2,,Palmitic_acid_0.4,,Palmitic_acid_0.6,,Palmitic_acid_0.8,,Palmitic_acid_1.0,,Palmitic_acid_2.0,,Palmitic_acid_3.0,,Palmitic_acid_4.0,,Palmitic_acid_5.0,,Palmitic_acid_6.0,,Palmitic_acid_7.0,,Palmitic_acid_8.0,,Palmitic_acid_9.0,,Palmitic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.0546265,-0.004014320206,781.0546265,-0.001416136161,781.0546265,0.0001513816387,781.0546265,0.001767929411,781.0546265,-0.0005686011864,781.0546265,0.004754337482,781.0546265,0.006304639392,781.0546265,0.0009848603513,781.0546265,0.008275500499,781.0546265,0.00913126301,781.0546265,0.02412444353,781.0546265,0.021608565,781.0546265,0.02034343034,781.0546265,0.03116497397,781.0546265,0.03548669815,781.0546265,0.04148986563,781.0546265,0.04401977733,781.0546265,0.04520061985,
779.9342041,-0.0001655868546,779.9342041,0.002100540791,779.9342041,-0.0008580482099,779.9342041,0.008889176883,779.9342041,0.001593093388,779.9342041,0.00493715331,779.9342041,0.003906652331,779.9342041,0.009735798463,779.9342041,0.01015453599,779.9342041,0.013637417,779.9342041,0.02092882618,779.9342041,0.02032113075,779.9342041,0.02378807031,779.9342041,0.03040329367,779.9342041,0.03782289103,779.9342041,0.04291396588,779.9342041,0.04618454352,779.9342041,0.04634715244,
778.9533691,-0.002268870128,778.9533691,-0.006162541453,778.9533691,-0.004702161998,778.9533691,-0.004249292891,778.9533691,-0.0006421700236,778.9533691,0.0008286232478,778.9533691,-0.0006382411812,778.9533691,0.0011235571,778.9533691,0.00110378128,778.9533691,0.009461388923,778.9533691,0.01965772919,778.9533691,0.01755596884,778.9533691,0.02219692431,778.9533691,0.0294070486,778.9533691,0.0305456575,778.9533691,0.03889122233,778.9533691,0.04348855093,778.9533691,0.04645730183,
777.972229,0.0004110565642,777.972229,-0.001966498792,777.972229,0.005008871667,777.972229,0.007604679558,777.972229,0.002717841417,777.972229,0.004066587426,777.972229,0.005251869559,777.972229,0.001763250912,777.972229,0.005221608561,777.972229,0.00996227935,777.972229,0.02109056339,777.972229,0.02399620414,777.972229,0.02711190656,777.972229,0.0341938436,777.972229,0.03764969483,777.972229,0.04378152639,777.972229,0.04716059938,777.972229,0.04864829779,
776.9906616,-0.001586342347,776.9906616,-0.00133067253,776.9906616,0.002551657846,776.9906616,0.001590131549,776.9906616,0.002318623709,776.9906616,0.003595519112,776.9906616,0.00414250046,776.9906616,0.006719238125,776.9906616,-0.001663246076,776.9906616,0.01276948676,776.9906616,0.01561768446,776.9906616,0.02106165141,776.9906616,0.02274014242,776.9906616,0.03235622868,776.9906616,0.04044567421,776.9906616,0.03901312128,776.9906616,0.04603687301,776.9906616,0.04384947568,
776.0087891,0.003072193125,776.0087891,0.003031969303,776.0087891,0.004947704729,776.0087891,0.009553888813,776.0087891,0.006494783331,776.0087891,0.008652083576,776.0087891,0.00625550095,776.0087891,0.007072845474,776.0087891,0.009088887833,776.0087891,0.01992803626,776.0087891,0.02620664425,776.0087891,0.02301660553,776.0087891,0.02918669954,776.0087891,0.03427294269,776.0087891,0.04146377742,776.0087891,0.04518711939,776.0087891,0.05446745455,776.0087891,0.05297925696,
775.0264893,-0.001180605963,775.0264893,0.0008813531604,775.0264893,0.003409092547,775.0264893,0.004337033723,775.0264893,0.003076729132,775.0264893,0.005356711801,775.0264893,0.00434762286,775.0264893,0.009662978351,775.0264893,0.00600929046,775.0264893,0.01971347257,775.0264893,0.01891732775,775.0264893,0.02082004771,775.0264893,0.02611839212,775.0264893,0.03319482878,775.0264893,0.04282505438,775.0264893,0.04412503913,775.0264893,0.04854584113,775.0264893,0.05328593776,
774.0438843,-0.002168686828,774.0438843,-0.001850625733,774.0438843,0.003377289977,774.0438843,0.003784167115,774.0438843,0.001503805513,774.0438843,0.01214346569,774.0438843,0.002030445496,774.0438843,0.003933739383,774.0438843,0.008209229447,774.0438843,0.01250716671,774.0438843,0.02072256431,774.0438843,0.02153894864,774.0438843,0.02430724911,774.0438843,0.03343388438,774.0438843,0.03790106997,774.0438843,0.04361017048,774.0438843,0.04611643031,774.0438843,0.04880679026,
773.0608521,0.002297388157,773.0608521,0.002149965381,773.0608521,0.001850928413,773.0608521,0.008521521464,773.0608521,0.005777542014,773.0608521,0.00701872725,773.0608521,0.007733385079,773.0608521,0.005292403977,773.0608521,0.01329281274,773.0608521,0.01059502922,773.0608521,0.02048465051,773.0608521,0.0230233483,773.0608521,0.03156417608,773.0608521,0.03655013442,773.0608521,0.04519588128,773.0608521,0.04700022191,773.0608521,0.04616090655,773.0608521,0.0506330356,
771.9370117,0.002017155988,771.9370117,0.004465977661,771.9370117,0.002845028648,771.9370117,0.008081042208,771.9370117,0.00787628442,771.9370117,0.0104264142,771.9370117,0.009768997319,771.9370117,0.0110163223,771.9370117,0.01139664557,771.9370117,0.01952888072,771.9370117,0.02427125163,771.9370117,0.02487397566,771.9370117,0.02931636944,771.9370117,0.03486113623,771.9370117,0.04122826457,771.9370117,0.05027439818,771.9370117,0.04800893739,771.9370117,0.05378188193,
