BLANK,,BM3,,dmso_1,,dmso_2,,4PhenylImidazole_0.1,,4PhenylImidazole_0.2,,4PhenylImidazole_0.3,,4PhenylImidazole_0.4,,4PhenylImidazole_0.5,,4PhenylImidazole_0.6,,4PhenylImidazole_0.7,,4PhenylImidazole_0.8,,4PhenylImidazole_0.9,,4PhenylImidazole_1.0,,4PhenylImidazole_2.0,,4PhenylImidazole_3.0,,4PhenylImidazole_4.0,,4PhenylImidazole_5.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.0546265,-0.001086006989,781.0546265,-0.0007814152632,781.0546265,0.002409354784,781.0546265,0.0002064896835,781.0546265,0.0006538538146,781.0546265,0.001407446107,781.0546265,0.006274620071,781.0546265,0.0008732863353,781.0546265,0.01035263017,781.0546265,0.01171490923,781.0546265,0.003457674757,781.0546265,0.004977554083,781.0546265,0.005245581269,781.0546265,0.004762162454,781.0546265,0.0050969976,781.0546265,0.002975224517,781.0546265,0.01450015418,781.0546265,0.006498330273,
779.9342041,0.0001793750271,779.9342041,0.002293666825,779.9342041,0.0049185385,779.9342041,0.001405524439,779.9342041,-0.00166422606,779.9342041,0.003162038513,779.9342041,0.008157975972,779.9342041,0.002721566241,779.9342041,0.006812891923,779.9342041,0.008247956634,779.9342041,0.005526751745,779.9342041,0.007425266318,779.9342041,0.005643199198,779.9342041,0.004646762274,779.9342041,0.007957664318,779.9342041,0.00574173592,779.9342041,0.009890427813,779.9342041,0.00614251243,
778.9533691,-5.000880992E-5,778.9533691,-0.001133309095,778.9533691,0.001474038349,778.9533691,-0.0003944782657,778.9533691,0.0006250780425,778.9533691,0.0005521879648,778.9533691,0.009983469732,778.9533691,0.007176312618,778.9533691,0.007595064119,778.9533691,0.01056343876,778.9533691,0.007453495637,778.9533691,0.006712797098,778.9533691,0.005886814557,778.9533691,0.005071356427,778.9533691,0.008839454502,778.9533691,0.003987265751,778.9533691,0.005346543621,778.9533691,0.009756474756,
777.972229,0.003975509666,777.972229,0.004928408656,777.972229,0.007966759615,777.972229,0.006375585217,777.972229,0.003762833774,777.972229,0.008275764994,777.972229,0.02248844504,777.972229,0.01419297513,777.972229,0.01254316233,777.972229,0.01442677062,777.972229,0.01340631582,777.972229,0.01037386525,777.972229,0.01062675472,777.972229,0.008830684237,777.972229,0.01344740484,777.972229,0.01252147462,777.972229,0.01633804478,777.972229,0.01718763821,
776.9906616,0.002196637681,776.9906616,0.005363368895,776.9906616,0.005204291083,776.9906616,0.007100262679,776.9906616,0.004147334956,776.9906616,0.007295677904,776.9906616,0.02194973268,776.9906616,0.008722754195,776.9906616,0.0081471093,776.9906616,0.01231408026,776.9906616,0.01141678914,776.9906616,0.009839717299,776.9906616,0.01225975715,776.9906616,0.01213561278,776.9906616,0.01177267451,776.9906616,0.01163470931,776.9906616,0.01288690604,776.9906616,0.01559248753,
776.0087891,-0.002632117597,776.0087891,-0.0007216186495,776.0087891,-0.001944697578,776.0087891,0.001762211323,776.0087891,0.003867369611,776.0087891,0.001476505888,776.0087891,0.01134974416,776.0087891,0.00299130613,776.0087891,0.004522734322,776.0087891,0.00939237047,776.0087891,0.006751155015,776.0087891,0.00627827039,776.0087891,0.004628735129,776.0087891,0.006900542881,776.0087891,0.007865713909,776.0087891,0.008250225335,776.0087891,0.01005997322,776.0087891,0.006812497508,
775.0264893,0.001625830773,775.0264893,-0.001454837038,775.0264893,0.003872488625,775.0264893,-0.001643544412,775.0264893,0.002824705327,775.0264893,0.005850343499,775.0264893,0.01660379022,775.0264893,0.005714640487,775.0264893,0.003661951749,775.0264893,0.008719268255,775.0264893,0.01329494733,775.0264893,0.006439554505,775.0264893,0.007297889329,775.0264893,-0.001673973398,775.0264893,0.009560795501,775.0264893,0.006030944176,775.0264893,0.01556187309,775.0264893,0.00859842822,
774.0438843,-0.001092307386,774.0438843,0.001576465787,774.0438843,-0.00203797617,774.0438843,-0.0004154780763,774.0438843,0.0005749972188,774.0438843,0.001636717818,774.0438843,0.006722524296,774.0438843,0.00110144564,774.0438843,0.004091567826,774.0438843,0.008756641299,774.0438843,0.006118017714,774.0438843,0.002220912604,774.0438843,0.003339020535,774.0438843,0.003279340453,774.0438843,0.00287830364,774.0438843,0.001252303133,774.0438843,0.008968447335,774.0438843,0.006413072348,
773.0608521,0.003592073917,773.0608521,-0.00299824914,773.0608521,0.004226006567,773.0608521,0.004032019526,773.0608521,0.00697358558,773.0608521,0.002892922377,773.0608521,0.01142205112,773.0608521,0.007642431185,773.0608521,0.006187489256,773.0608521,0.01697988994,773.0608521,0.0117026763,773.0608521,0.008989483118,773.0608521,0.009970013984,773.0608521,0.008827725425,773.0608521,0.009637357667,773.0608521,0.004908040166,773.0608521,0.01248524152,773.0608521,0.01003009081,
771.9370117,0.005632184912,771.9370117,0.001685751835,771.9370117,0.004753709305,771.9370117,0.003619506955,771.9370117,0.005284857936,771.9370117,0.005576069467,771.9370117,0.005539624486,771.9370117,0.006700257771,771.9370117,0.008078351617,771.9370117,0.01415499765,771.9370117,0.008197596297,771.9370117,0.009777389467,771.9370117,0.009396919981,771.9370117,0.00654066354,771.9370117,0.01058282796,771.9370117,0.01055850554,771.9370117,0.01243747678,771.9370117,0.01617288031,
