baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_acid_0.5,,Arachadonic_acid_1.0,,Arachadonic_acid_1.5,,Arachadonic_acid_2.0,,Arachadonic_acid_2.5,,Arachadonic_acid_3.0,,Arachadonic_acid_3.5,,Arachadonic_acid_4.0,,Arachadonic_acid_5.0,,Arachadonic_acid_6.0,,Arachadonic_acid_7.0,,Arachadonic_acid_8.0,,Arachadonic_acid_9.0,,Arachadonic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.0546265,0.0008760098135,781.0546265,0.003622665303,781.0546265,0.006759042386,781.0546265,0.004189517815,781.0546265,0.005756319966,781.0546265,0.007167312317,781.0546265,0.007301995996,781.0546265,0.01062534843,781.0546265,0.0325669758,781.0546265,0.01658063568,781.0546265,0.01147600356,781.0546265,0.01104199793,781.0546265,0.01582569629,781.0546265,0.03064323217,781.0546265,0.02300888114,781.0546265,0.03040218353,781.0546265,0.04948649183,781.0546265,0.02602655441,
779.9342041,0.000539876637,779.9342041,0.004575836007,779.9342041,0.007425714284,779.9342041,0.009424457327,779.9342041,0.009226786904,779.9342041,0.01453374512,779.9342041,0.004306130111,779.9342041,0.0139528634,779.9342041,0.03134119883,779.9342041,0.01537254639,779.9342041,0.01247013547,779.9342041,0.01464470848,779.9342041,0.01355331019,779.9342041,0.03390001878,779.9342041,0.02753481083,779.9342041,0.02874589339,779.9342041,0.04867901653,779.9342041,0.02476820722,
778.9533691,0.001173597411,778.9533691,0.006179743446,778.9533691,0.005083089694,778.9533691,0.005486457143,778.9533691,0.006775370333,778.9533691,0.002617878839,778.9533691,0.00684058154,778.9533691,0.01226361841,778.9533691,0.03334249929,778.9533691,0.0102507351,778.9533691,0.01641263813,778.9533691,0.01194372866,778.9533691,0.01244000718,778.9533691,0.03500381857,778.9533691,0.02443401888,778.9533691,0.02825472876,778.9533691,0.04400935024,778.9533691,0.02403464168,
777.972229,0.003409170778,777.972229,0.004206454847,777.972229,0.005689487793,777.972229,0.006290640216,777.972229,0.003851673333,777.972229,0.0097291274,777.972229,0.008937107399,777.972229,0.01315396372,777.972229,0.02683051117,777.972229,0.01781121455,777.972229,0.01571542397,777.972229,0.01179403253,777.972229,0.01324514579,777.972229,0.03427095339,777.972229,0.02487293445,777.972229,0.02836320177,777.972229,0.04661664367,777.972229,0.02310355008,
776.9906616,-0.00512155937,776.9906616,0.001292336383,776.9906616,0.003378229216,776.9906616,0.004597837571,776.9906616,0.005221844185,776.9906616,0.00441987114,776.9906616,0.007439696696,776.9906616,0.009132452309,776.9906616,0.03034466133,776.9906616,0.00910030771,776.9906616,0.0107586151,776.9906616,0.008615829051,776.9906616,0.007822671905,776.9906616,0.03328732774,776.9906616,0.02057138644,776.9906616,0.02492745966,776.9906616,0.04588349909,776.9906616,0.02185577899,
776.0087891,0.001013037167,776.0087891,0.0050952686,776.0087891,0.005467451643,776.0087891,0.002849848941,776.0087891,0.008314234205,776.0087891,0.0008880712558,776.0087891,0.01083079632,776.0087891,0.01090776827,776.0087891,0.03180230409,776.0087891,0.01308606379,776.0087891,0.00903903693,776.0087891,0.007977226749,776.0087891,0.008573292755,776.0087891,0.0330388844,776.0087891,0.0196200572,776.0087891,0.02307526767,776.0087891,0.04658168927,776.0087891,0.0229774937,
775.0264893,0.000566884235,775.0264893,0.007188839838,775.0264893,0.004594750237,775.0264893,0.01079067029,775.0264893,0.004395107273,775.0264893,0.005399588961,775.0264893,0.008299035951,775.0264893,0.009364888072,775.0264893,0.03123798594,775.0264893,0.01052084472,775.0264893,0.007154943421,775.0264893,0.009062322788,775.0264893,0.007420869078,775.0264893,0.03016146086,775.0264893,0.0235509593,775.0264893,0.02729627863,775.0264893,0.04853153974,775.0264893,0.02427065,
774.0438843,0.002552282764,774.0438843,0.008193138056,774.0438843,0.008521627635,774.0438843,0.009675312787,774.0438843,0.009138400666,774.0438843,0.00997038465,774.0438843,0.01264468953,774.0438843,0.0103200227,774.0438843,0.033849895,774.0438843,0.01582309231,774.0438843,0.01284885593,774.0438843,0.0126041295,774.0438843,0.01328768767,774.0438843,0.0342442058,774.0438843,0.02273089625,774.0438843,0.02776009031,774.0438843,0.04898374528,774.0438843,0.02403466962,
773.0608521,-0.001990514807,773.0608521,0.00697755767,773.0608521,0.005423440598,773.0608521,0.005884610582,773.0608521,0.006827854086,773.0608521,0.00682582939,773.0608521,0.007124523632,773.0608521,0.008862307295,773.0608521,0.03090826422,773.0608521,0.01027469616,773.0608521,0.009349467233,773.0608521,0.009311594069,773.0608521,0.007212237455,773.0608521,0.03437766433,773.0608521,0.02443015762,773.0608521,0.02599445358,773.0608521,0.04401937872,773.0608521,0.0203636121,
771.9370117,-0.00285842712,771.9370117,0.003072167048,771.9370117,0.005405879579,771.9370117,0.007124786731,771.9370117,0.004957261495,771.9370117,0.00638598809,771.9370117,0.007311341353,771.9370117,0.008583193645,771.9370117,0.03602689505,771.9370117,0.01278305613,771.9370117,0.006779182702,771.9370117,0.00898433011,771.9370117,0.009952109307,771.9370117,0.03258633986,771.9370117,0.01761944965,771.9370117,0.02394513227,771.9370117,0.0384815298,771.9370117,0.02339062467,
