baseline,,bm3,,dmso_1.0,,dmso_2.0,,Palmitic_acid_0.1,,Palmitic_acid_0.2,,Palmitic_acid_0.3,,Palmitic_acid_0.4,,Palmitic_acid_0.5,,Palmitic_acid_0.6,,Palmitic_acid_0.7,,Palmitic_acid_0.8,,Palmitic_acid_0.9,,Palmitic_acid_1.0,,Palmitic_acid_2.0,,Palmitic_acid_3.0,,Palmitic_acid_4.0,,Palmitic_acid_5.0,,Palmitic_acid_6.0,,Palmitic_acid_7.0,,Palmitic_acid_8.0,,Palmitic_acid_9.0,,Palmitic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
783.0142822,-0.0008012077888,783.0142822,0.00118821091,783.0142822,0.003294390161,783.0142822,0.005340253934,783.0142822,0.004144747742,783.0142822,0.0004154354392,783.0142822,0.003627024358,783.0142822,0.004242761992,783.0142822,0.006134268362,783.0142822,0.01044996083,783.0142822,0.01789385825,783.0142822,0.01027268171,783.0142822,0.01258750074,783.0142822,0.01645030268,783.0142822,0.01445417479,783.0142822,0.02886160091,783.0142822,0.03022073396,783.0142822,0.07273639739,783.0142822,0.04134583473,783.0142822,0.04619505256,783.0142822,0.04557553306,783.0142822,0.0551802665,783.0142822,0.06257394701,
782.034668,0.002052526223,782.034668,0.003644017968,782.034668,0.004376201425,782.034668,0.006792434491,782.034668,0.006387038622,782.034668,0.005638819654,782.034668,0.005511388183,782.034668,0.008159110323,782.034668,0.009056481533,782.034668,0.0121219838,782.034668,0.02074034885,782.034668,0.01221023407,782.034668,0.01545199007,782.034668,0.01472937502,782.034668,0.0200203266,782.034668,0.03054126911,782.034668,0.03070165403,782.034668,0.07580622286,782.034668,0.04093398899,782.034668,0.05501696095,782.034668,0.05196227506,782.034668,0.06326884776,782.034668,0.06787901372,
781.0546265,0.001691001235,781.0546265,0.003356393892,781.0546265,0.006141278427,781.0546265,0.01075816341,781.0546265,0.00841432903,781.0546265,0.006469033659,781.0546265,0.006738403812,781.0546265,0.001424067304,781.0546265,0.008906535804,781.0546265,0.01308745053,781.0546265,0.02469041012,781.0546265,0.01165696513,781.0546265,0.01325616799,781.0546265,0.01917632483,781.0546265,0.02141402848,781.0546265,0.0280367583,781.0546265,0.02976249531,781.0546265,0.0640392527,781.0546265,0.04659693316,781.0546265,0.05002499372,781.0546265,0.04766083509,781.0546265,0.05787655711,781.0546265,0.0674354583,
779.9342041,0.001421028632,779.9342041,0.006491735112,779.9342041,0.005009159911,779.9342041,0.01127309259,779.9342041,0.008028511889,779.9342041,0.007980601862,779.9342041,0.00692452956,779.9342041,0.008944638073,779.9342041,0.008367643692,779.9342041,0.00899246987,779.9342041,0.01926699467,779.9342041,0.01319174748,779.9342041,0.01625024155,779.9342041,0.01518078148,779.9342041,0.01640169695,779.9342041,0.0362887606,779.9342041,0.03040884621,779.9342041,0.06992983073,779.9342041,0.04608882591,779.9342041,0.05312453955,779.9342041,0.05028355122,779.9342041,0.06432829797,779.9342041,0.05780421942,
778.9533691,-0.002499023918,778.9533691,0.00249851658,778.9533691,0.00468417909,778.9533691,0.008287954144,778.9533691,0.005095582921,778.9533691,-0.0001864424848,778.9533691,0.001584857469,778.9533691,0.006701335311,778.9533691,0.00749908248,778.9533691,0.01217040606,778.9533691,0.01374251395,778.9533691,0.007389245089,778.9533691,0.01280726306,778.9533691,0.01868247986,778.9533691,0.01712236367,778.9533691,0.02895694412,778.9533691,0.02813609131,778.9533691,0.07178704441,778.9533691,0.04097344354,778.9533691,0.05108598247,778.9533691,0.04573366046,778.9533691,0.05911714956,778.9533691,0.06128484756,
777.972229,0.0008758023032,777.972229,0.002798208268,777.972229,0.00366719882,777.972229,0.009602290578,777.972229,0.006575458217,777.972229,0.006075016689,777.972229,0.006203742698,777.972229,0.006972796284,777.972229,0.006404613145,777.972229,0.01296421606,777.972229,0.01383194886,777.972229,0.0148292454,777.972229,0.01520327292,777.972229,0.0168996267,777.972229,0.01982820593,777.972229,0.03139047697,777.972229,0.02952927537,777.972229,0.07372446358,777.972229,0.0486387983,777.972229,0.05004009604,777.972229,0.04941620678,777.972229,0.06126359478,777.972229,0.07144550979,
776.9906616,0.0009125843062,776.9906616,0.005286979955,776.9906616,0.007056375034,776.9906616,0.01047462132,776.9906616,0.006524896715,776.9906616,0.006317010149,776.9906616,0.005462890491,776.9906616,0.007012465969,776.9906616,0.008056780323,776.9906616,0.01155258436,776.9906616,0.01148248836,776.9906616,0.01756036095,776.9906616,0.02008156665,776.9906616,0.01831686683,776.9906616,0.0249022115,776.9906616,0.03050475195,776.9906616,0.02571872622,776.9906616,0.07058885694,776.9906616,0.04689558595,776.9906616,0.05295182765,776.9906616,0.0533679761,776.9906616,0.0645064041,776.9906616,0.0723162964,
776.0087891,0.0005419242079,776.0087891,0.003848330351,776.0087891,0.006210780237,776.0087891,0.01189889666,776.0087891,0.006534698419,776.0087891,0.00832650438,776.0087891,0.008222261444,776.0087891,0.01055967249,776.0087891,0.006319557782,776.0087891,0.01238612179,776.0087891,0.01480085403,776.0087891,0.01372939534,776.0087891,0.01691830531,776.0087891,0.01469223388,776.0087891,0.02193306945,776.0087891,0.02951921709,776.0087891,0.0302055534,776.0087891,0.06602544338,776.0087891,0.04086828977,776.0087891,0.05372551456,776.0087891,0.05017974973,776.0087891,0.05614448711,776.0087891,0.06629591435,
775.0264893,0.0007400629111,775.0264893,0.006332769524,775.0264893,0.008071785793,775.0264893,0.01140259858,775.0264893,0.009718697518,775.0264893,0.009714806452,775.0264893,0.009131606668,775.0264893,0.00935557764,775.0264893,0.01045669522,775.0264893,0.01180092152,775.0264893,0.01262155734,775.0264893,0.01483468246,775.0264893,0.01740960591,775.0264893,0.01606810838,775.0264893,0.01989161409,775.0264893,0.03148395568,775.0264893,0.03273684904,775.0264893,0.075097844,775.0264893,0.04633278027,775.0264893,0.05407326669,775.0264893,0.05232397467,775.0264893,0.06202677265,775.0264893,0.06876641512,
774.0438843,-0.0003904954356,774.0438843,0.002520386828,774.0438843,0.002387411892,774.0438843,0.01019897591,774.0438843,0.00682335766,774.0438843,0.005805113353,774.0438843,0.007374790031,774.0438843,0.008205800317,774.0438843,0.006228531245,774.0438843,0.01152868662,774.0438843,0.01652010158,774.0438843,0.01400202513,774.0438843,0.016813647,774.0438843,0.0150670018,774.0438843,0.01979756355,774.0438843,0.03087265976,774.0438843,0.0283132717,774.0438843,0.07248476893,774.0438843,0.05027198419,774.0438843,0.05029808357,774.0438843,0.04880453274,774.0438843,0.05947474018,774.0438843,0.07002538443,
