baseline,,bm3,,dmso_1.0.,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
771.9370117,-0.00132313685,771.9370117,0.002967561595,771.9370117,0.002080148319,771.9370117,0.002130480949,771.9370117,0.003074122127,771.9370117,0.003916786984,771.9370117,0.004345322028,771.9370117,0.005550400354,771.9370117,0.003972871229,771.9370117,0.006023936439,771.9370117,0.02938826755,771.9370117,0.01440704893,771.9370117,0.005053233355,771.9370117,0.01024575252,771.9370117,0.01041559689,771.9370117,0.01503693312,771.9370117,0.01302726939,771.9370117,0.03646823019,
770.9532471,0.001402044436,770.9532471,0.001281925361,770.9532471,0.002170152962,770.9532471,0.003380394541,770.9532471,0.00378617784,770.9532471,0.003162846901,770.9532471,0.005520616658,770.9532471,0.005281136837,770.9532471,0.008627710864,770.9532471,0.003566782689,770.9532471,0.0316456072,770.9532471,0.01119132806,770.9532471,0.01042055432,770.9532471,0.008239725605,770.9532471,0.009833150543,770.9532471,0.01519174594,770.9532471,0.02708019316,770.9532471,0.03945217282,
769.9690552,-0.00108528405,769.9690552,0.001403135131,769.9690552,0.001759586157,769.9690552,0.004326549359,769.9690552,0.004038995598,769.9690552,0.0005740122288,769.9690552,0.003846084466,769.9690552,0.004098779988,769.9690552,0.003936273046,769.9690552,0.005843522027,769.9690552,0.02879396453,769.9690552,0.006641795859,769.9690552,0.008785538375,769.9690552,0.009675100446,769.9690552,0.01129447948,769.9690552,0.01226005051,769.9690552,0.01798304543,769.9690552,0.03624393418,
768.9845581,-0.00210609287,768.9845581,0.002339183586,768.9845581,-0.0004233915242,768.9845581,-0.0006470293738,768.9845581,0.003258892335,768.9845581,0.001649969723,768.9845581,0.003490239847,768.9845581,0.002436660929,768.9845581,0.003383212024,768.9845581,0.007154890802,768.9845581,0.02861586958,768.9845581,0.009253096767,768.9845581,-0.001213958603,768.9845581,0.006514437962,768.9845581,0.01010276098,768.9845581,0.009496577084,768.9845581,0.02209000662,768.9845581,0.0327045545,
767.9996948,0.00402263971,767.9996948,0.005041789263,767.9996948,0.006602711976,767.9996948,0.003064919729,767.9996948,0.006086750887,767.9996948,0.00695030624,767.9996948,0.01030576136,767.9996948,0.008009368554,767.9996948,0.009946944192,767.9996948,0.01165731065,767.9996948,0.03498886526,767.9996948,0.01851145364,767.9996948,0.01263469551,767.9996948,0.01040941849,767.9996948,0.01309604105,767.9996948,0.01629506797,767.9996948,0.02501415461,767.9996948,0.03892429173,
767.0144653,-0.004719318822,767.0144653,-0.001512262621,767.0144653,-0.003621320706,767.0144653,0.002608868293,767.0144653,0.0007589145098,767.0144653,0.0002600506123,767.0144653,0.000961821992,767.0144653,0.001427807147,767.0144653,0.005622429773,767.0144653,0.004747611471,767.0144653,0.02668068931,767.0144653,0.007870774716,767.0144653,0.008456770331,767.0144653,0.00366860861,767.0144653,0.01577893086,767.0144653,0.01200442482,767.0144653,0.02231062576,767.0144653,0.02853154764,
766.0288696,-0.0006425835891,766.0288696,0.001569399261,766.0288696,0.002371534705,766.0288696,0.001795195392,766.0288696,0.002789819147,766.0288696,0.00555299595,766.0288696,0.005686078221,766.0288696,0.003901767777,766.0288696,0.003847834188,766.0288696,0.008017542772,766.0288696,0.02930482104,766.0288696,0.008827223442,766.0288696,0.008744412102,766.0288696,0.008040904999,766.0288696,0.006658881437,766.0288696,0.01365277637,766.0288696,0.02438700385,766.0288696,0.03749267757,
765.0429077,0.001107777935,765.0429077,0.00102536194,765.0429077,0.0003796542005,765.0429077,0.004032620229,765.0429077,0.004630409647,765.0429077,0.0009535201825,765.0429077,0.003921305761,765.0429077,0.003836082062,765.0429077,0.007867691107,765.0429077,0.005793675315,765.0429077,0.03055790626,765.0429077,0.007930377498,765.0429077,0.005679941271,765.0429077,0.01036999468,765.0429077,0.008499901742,765.0429077,0.009506895207,765.0429077,0.02252230421,765.0429077,0.03433076292,
764.0565796,-0.00146237039,764.0565796,0.001776142861,764.0565796,0.002647333778,764.0565796,0.0007546358393,764.0565796,0.002832782455,764.0565796,0.002450588159,764.0565796,0.004569767043,764.0565796,0.00494550541,764.0565796,0.005345259793,764.0565796,0.008232813329,764.0565796,0.02847137116,764.0565796,0.01115533896,764.0565796,0.008969081566,764.0565796,0.008760630153,764.0565796,0.01185678318,764.0565796,0.0136957597,764.0565796,0.0237340983,764.0565796,0.03835313767,
763.0698853,0.001223721309,763.0698853,0.003631540341,763.0698853,0.002772728913,763.0698853,0.006373089738,763.0698853,0.004577013198,763.0698853,0.004654218908,763.0698853,0.006720999721,763.0698853,0.005313184112,763.0698853,0.006590044126,763.0698853,0.007863209583,763.0698853,0.03309609368,763.0698853,0.01452999748,763.0698853,0.01179578807,763.0698853,0.01502567809,763.0698853,0.02009612508,763.0698853,0.01891354099,763.0698853,0.02695975639,763.0698853,0.03789638355,
