baseline,,bm3,,dmso_1,,dmso_2,,dmso_3,,Palmitic_Acid_0.1,,Palmitic_Acid_0.2,,Palmitic_Acid_0.3,,Palmitic_Acid_0.4,,Palmitic_Acid_0.5,,Palmitic_Acid_0.6,,Palmitic_Acid_0.7,,Palmitic_Acid_0.8,,Palmitic_Acid_0.9,,Palmitic_Acid_1.0,,Palmitic_Acid_2.0,,Palmitic_Acid_3.0,,Palmitic_Acid_4.0,,Palmitic_Acid_5.0,,Palmitic_Acid_6.0,,Palmitic_Acid_7.0,,Palmitic_Acid_8.0,,Palmitic_Acid_9.0,,Palmitic_Acid_10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
787.0688477,-0.001264085993,787.0688477,0.005490494426,787.0688477,0.002339938423,787.0688477,0.007080449723,787.0688477,0.004246683326,787.0688477,0.003592909081,787.0688477,0.005091339815,787.0688477,0.02022940107,787.0688477,0.006166168489,787.0688477,0.009803627618,787.0688477,0.01203843579,787.0688477,0.008355583996,787.0688477,0.01183909271,787.0688477,0.0134494612,787.0688477,0.01624817215,787.0688477,0.01867280714,787.0688477,0.02268602699,787.0688477,0.03101356514,787.0688477,0.03482436389,787.0688477,0.03481084481,787.0688477,0.04411747679,787.0688477,0.04511092231,787.0688477,0.05220202357,787.0688477,0.06128717214,
785.9509888,0.002540096873,785.9509888,0.008141834289,785.9509888,0.00520858774,785.9509888,0.00830916781,785.9509888,0.005130576435,785.9509888,0.005244978704,785.9509888,0.006470636465,785.9509888,0.02420728281,785.9509888,0.01183124539,785.9509888,0.01877999306,785.9509888,0.0151465768,785.9509888,0.01279225294,785.9509888,0.01443771645,785.9509888,0.01628929004,785.9509888,0.01229535881,785.9509888,0.02267217264,785.9509888,0.02093477547,785.9509888,0.03101667948,785.9509888,0.03387667611,785.9509888,0.03980266303,785.9509888,0.04884149507,785.9509888,0.04619277641,785.9509888,0.05596918613,785.9509888,0.06026478484,
784.9724731,-0.00147170946,784.9724731,0.001199190738,784.9724731,0.001115044579,784.9724731,0.007408282254,784.9724731,-0.001351627172,784.9724731,0.0006136200973,784.9724731,-0.001871555229,784.9724731,0.02256759256,784.9724731,0.01102850866,784.9724731,0.006159210578,784.9724731,0.01014218759,784.9724731,0.008598877117,784.9724731,0.007978624664,784.9724731,0.01107710134,784.9724731,0.01657501422,784.9724731,0.02103994042,784.9724731,0.02225397527,784.9724731,0.02961315401,784.9724731,0.03253874183,784.9724731,0.03172563389,784.9724731,0.04946339875,784.9724731,0.04645753279,784.9724731,0.05849907547,784.9724731,0.05437267944,
783.9935303,-0.001059668488,783.9935303,0.003216695506,783.9935303,0.003419893794,783.9935303,0.00674261013,783.9935303,0.003834201721,783.9935303,0.002782185795,783.9935303,0.000643898733,783.9935303,0.0210968405,783.9935303,0.01329718996,783.9935303,0.008336689323,783.9935303,0.01388331503,783.9935303,0.01083318517,783.9935303,0.01205725223,783.9935303,0.01223424915,783.9935303,0.015072871,783.9935303,0.02101564966,783.9935303,0.02229400352,783.9935303,0.03376572579,783.9935303,0.03181419894,783.9935303,0.04472051188,783.9935303,0.0481592454,783.9935303,0.04669901729,783.9935303,0.05450375378,783.9935303,0.05863540247,
783.0142822,-0.0004354424891,783.0142822,0.0005974447122,783.0142822,0.002642723965,783.0142822,0.006754862145,783.0142822,0.004821916111,783.0142822,0.001447623596,783.0142822,0.002958022524,783.0142822,0.0232992284,783.0142822,0.01788166538,783.0142822,0.01276084874,783.0142822,0.01379002165,783.0142822,0.009949645959,783.0142822,0.009548173286,783.0142822,0.01238449663,783.0142822,0.01565608568,783.0142822,0.02049366012,783.0142822,0.0219081305,783.0142822,0.0287050195,783.0142822,0.0349037461,783.0142822,0.03873010725,783.0142822,0.04796039686,783.0142822,0.05071251094,783.0142822,0.05291232467,783.0142822,0.05679417774,
782.034668,0.001414769795,782.034668,-0.0008962821448,782.034668,0.001048014383,782.034668,0.004217459355,782.034668,0.0002598952269,782.034668,0.0003659228387,782.034668,0.003593378933,782.034668,0.01989643835,782.034668,0.01974692941,782.034668,0.00984511897,782.034668,0.01391659118,782.034668,0.0122961849,782.034668,0.0144666722,782.034668,0.0145794386,782.034668,0.01595801674,782.034668,0.02055854909,782.034668,0.02533474006,782.034668,0.03351295367,782.034668,0.03405198827,782.034668,0.0378664434,782.034668,0.05088171363,782.034668,0.04496582597,782.034668,0.0559801124,782.034668,0.05194620043,
781.0546265,-0.001492812065,781.0546265,0.001779443817,781.0546265,0.002621550811,781.0546265,0.003915245645,781.0546265,0.003736122744,781.0546265,0.001288987231,781.0546265,0.003774087876,781.0546265,0.02253724635,781.0546265,0.01897941157,781.0546265,0.01274693385,781.0546265,0.0164266713,781.0546265,0.01049143448,781.0546265,0.01269639563,781.0546265,0.01207758579,781.0546265,0.01017997507,781.0546265,0.0153228268,781.0546265,0.02106491104,781.0546265,0.03103130311,781.0546265,0.03319770843,781.0546265,0.03687123582,781.0546265,0.04029516876,781.0546265,0.04911604524,781.0546265,0.05154056475,781.0546265,0.05173091218,
779.9342041,-0.0002937581448,779.9342041,-0.001705483184,779.9342041,0.003947610036,779.9342041,0.003355585271,779.9342041,0.004502332304,779.9342041,0.003527765861,779.9342041,0.003736880142,779.9342041,0.02684069984,779.9342041,0.01385207195,779.9342041,0.01236132532,779.9342041,0.01783761941,779.9342041,0.0108370604,779.9342041,0.01437539421,779.9342041,0.01374852564,779.9342041,0.01551953703,779.9342041,0.01957106777,779.9342041,0.02123012394,779.9342041,0.03077119961,779.9342041,0.03317110613,779.9342041,0.03886985034,779.9342041,0.04550351948,779.9342041,0.04740963504,779.9342041,0.05564830825,779.9342041,0.05081062019,
778.9533691,-0.000966747757,778.9533691,7.655155787E-5,778.9533691,0.005859448109,778.9533691,0.0009819545085,778.9533691,0.001134068123,778.9533691,0.002233245643,778.9533691,0.002537258901,778.9533691,0.02337988839,778.9533691,0.006165669765,778.9533691,0.01041795593,778.9533691,0.01365713123,778.9533691,0.01075888053,778.9533691,0.01121340133,778.9533691,0.01279211976,778.9533691,0.01468545943,778.9533691,0.02160995267,778.9533691,0.02248879895,778.9533691,0.03059609421,778.9533691,0.03336242959,778.9533691,0.03819143027,778.9533691,0.04857692868,778.9533691,0.04456031695,778.9533691,0.05176296085,778.9533691,0.05021525919,
777.972229,-0.001102429,777.972229,0.0003394976957,777.972229,-0.0004727310443,777.972229,0.003897379618,777.972229,0.002125668572,777.972229,0.002510102466,777.972229,0.005509763025,777.972229,0.02451108582,777.972229,0.007560661994,777.972229,0.0150425341,777.972229,0.01611407101,777.972229,0.01116460841,777.972229,0.01628421061,777.972229,0.01384156942,777.972229,0.01920565218,777.972229,0.02090375498,777.972229,0.0265492443,777.972229,0.03304868937,777.972229,0.03463937715,777.972229,0.04212956503,777.972229,0.0455968082,777.972229,0.04793429375,777.972229,0.05408974364,777.972229,0.05778165534,
