kpi+DMSO,,kpi+DMSO+Triton,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
961.0110474,0.2363548577,961.0110474,0.2440473139,
959.9805298,0.2350988835,959.9805298,0.2409685254,
958.9494019,0.2356052697,958.9494019,0.2405272722,
958.0466919,0.2338544726,958.0466919,0.2366805375,
957.0144043,0.2260986716,957.0144043,0.2332234383,
955.9815674,0.2225302458,955.9815674,0.2260201573,
954.9481812,0.2171303332,954.9481812,0.2194749266,
954.043457,0.2100178599,954.043457,0.2147001624,
953.0089111,0.2046154141,953.0089111,0.2050655782,
951.9738159,0.1958564818,951.9738159,0.2024444342,
950.9381104,0.1892030239,950.9381104,0.1938945502,
950.0313721,0.1833472699,950.0313721,0.1868035644,
948.9945679,0.177143231,948.9945679,0.1829749048,
947.9572144,0.1698755473,947.9572144,0.1746192127,
947.0490112,0.1656544358,947.0490112,0.1715867221,
946.010498,0.1631546766,946.010498,0.1668988913,
944.9714355,0.1555842608,944.9714355,0.1631734371,
944.0617676,0.153839767,944.0617676,0.1595521122,
943.0216064,0.1511566341,943.0216064,0.1556606442,
941.980896,0.1472181231,941.980896,0.1524269432,
940.9395752,0.1443625391,940.9395752,0.1489585787,
940.0279541,0.1409737468,940.0279541,0.1465907395,
938.9855347,0.1378745288,938.9855347,0.1438563466,
937.9425049,0.1361763924,937.9425049,0.140441075,
937.0294189,0.1342947483,937.0294189,0.1381760985,
935.9853516,0.1312963217,935.9853516,0.1383246481,
934.9407349,0.1279653162,934.9407349,0.1350004822,
934.0261841,0.1272668988,934.0261841,0.1331800073,
932.9804077,0.1241682917,932.9804077,0.1296133399,
932.0649414,0.1234909892,932.0649414,0.1293190867,
931.0181274,0.1224736348,931.0181274,0.1261159033,
929.9707642,0.1200436428,929.9707642,0.1234522909,
929.053772,0.1205784082,929.053772,0.1225961372,
928.0053101,0.1152789444,928.0053101,0.1222314462,
926.9562988,0.1118815541,926.9562988,0.1188975722,
926.0379028,0.1128853112,926.0379028,0.1176307648,
924.987793,0.1105505377,924.987793,0.115868412,
923.9371338,0.1087668464,923.9371338,0.1151400656,
923.017334,0.110350512,923.017334,0.1144431904,
921.9655762,0.1051916331,921.9655762,0.1143160984,
921.0447998,0.1074381918,921.0447998,0.1123432294,
919.9920044,0.1057480723,919.9920044,0.1112915203,
918.9385986,0.1059281826,918.9385986,0.1100649163,
918.0164185,0.1047095954,918.0164185,0.1092033386,
916.9619751,0.1044892892,916.9619751,0.1099191606,
916.0388794,0.103892602,916.0388794,0.1086405292,
914.9833984,0.1027113795,914.9833984,0.1078748852,
914.0593262,0.1022844985,914.0593262,0.1052600071,
913.0028076,0.1013693213,913.0028076,0.1050017104,
911.9456787,0.1010592878,911.9456787,0.105812043,
911.0202026,0.1003052443,911.0202026,0.1038487032,
909.9620361,0.09921211749,909.9620361,0.103528589,
909.0356445,0.09749241173,909.0356445,0.1029506996,
907.9764404,0.0975452289,907.9764404,0.102517426,
907.0491333,0.09701877087,907.0491333,0.1044719368,
905.9888306,0.09601540118,905.9888306,0.1008228064,
905.0606079,0.09705360234,905.0606079,0.101633355,
903.9993286,0.09595234692,903.9993286,0.1005420014,
902.9373779,0.09505919367,902.9373779,0.09912908077,
902.0078125,0.09436682612,902.0078125,0.1006569415,
900.9448853,0.09382499754,900.9448853,0.09983048588,
900.0143433,0.09196531028,900.0143433,0.0992679745,

kpi+DMSO,
kpi+DMSO
Collection Time: 02/12/2019 11:32:55
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        1000.0
Stop (nm)                         900.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         4800.00
UV-Vis Data Interval (nm)         1.00
UV-Vis Ave. Time (sec)            0.0125
Beam Mode                         Dual Beam
Baseline Correction               Off
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 02/12/2019 11:25:07
Method Modifications:
X Start nm Changed: 02/12/2019 11:25:45, Old:  800.0, New: 1000.0
