baseline,,bm3,,dmso_1,,dmso_2,,4Phenylimidazole_0.1,,4Phenylimidazole_0.2,,4Phenylimidazole_0.3,,4Phenylimidazole_0.5,,4Phenylimidazole_0.6,,4Phenylimidazole_0.7,,4Phenylimidazole_0.8,,4Phenylimidazole_0.9,,4Phenylimidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.0144653,0.001371427323,767.0144653,-0.00641216943,767.0144653,-0.00746640237,767.0144653,-0.004397226963,767.0144653,-0.002961742459,767.0144653,-0.005024539772,767.0144653,-0.005128005985,767.0144653,-0.009710672311,767.0144653,0.00179680693,767.0144653,0.01016161125,767.0144653,0.004814639222,767.0144653,0.001472687698,767.0144653,0.005041920114,
766.0288696,-0.0009741346585,766.0288696,-0.009558814578,766.0288696,-0.01104623731,766.0288696,-0.00690742908,766.0288696,-0.006190409884,766.0288696,-0.00489883218,766.0288696,-0.003433624981,766.0288696,-0.003875543363,766.0288696,-0.0004740756413,766.0288696,0.00429977756,766.0288696,0.002768195933,766.0288696,0.001873623929,766.0288696,0.0008953601937,
765.0429077,-0.00191248348,765.0429077,-0.005321005825,765.0429077,-0.00721193105,765.0429077,-0.003780657193,765.0429077,-0.004407476634,765.0429077,-0.002827360993,765.0429077,0.001401862595,765.0429077,-0.001127215917,765.0429077,-0.001042728312,765.0429077,0.006114945747,765.0429077,0.009785358794,765.0429077,0.002042695181,765.0429077,0.004625360016,
764.0565796,4.600180182E-5,764.0565796,-0.005779554136,764.0565796,-0.004688282963,764.0565796,-0.004889207892,764.0565796,-0.003065341618,764.0565796,-0.001400603214,764.0565796,-0.001607490936,764.0565796,0.0004440418561,764.0565796,0.001628948725,764.0565796,0.002412374131,764.0565796,0.007086369675,764.0565796,0.004594201222,764.0565796,0.007400461938,
763.0698853,0.0007356029237,763.0698853,-0.007427012082,763.0698853,-0.001573859132,763.0698853,-0.002795469481,763.0698853,-0.003598113544,763.0698853,0.0004153058981,763.0698853,0.0003434613755,763.0698853,0.003392786486,763.0698853,0.0001513557363,763.0698853,0.0060133324,763.0698853,0.007336114068,763.0698853,0.003626241349,763.0698853,0.007831500843,
761.9417725,-0.002762546763,761.9417725,-0.007519629318,761.9417725,-0.007417901885,761.9417725,-0.00629829336,761.9417725,-0.004447500687,761.9417725,-0.00320355501,761.9417725,-0.001127319178,761.9417725,-0.003120190231,761.9417725,-2.67134983E-5,761.9417725,1.42116287E-5,761.9417725,0.004533668049,761.9417725,0.002675696975,761.9417725,0.001707269344,
760.9543457,-0.0005603284226,760.9543457,-0.008552195504,760.9543457,-0.007192072459,760.9543457,-0.01214175578,760.9543457,-0.00494198408,760.9543457,-0.0032768331,760.9543457,-0.005589670967,760.9543457,-0.00154295878,760.9543457,-0.009949465282,760.9543457,-0.0007326793275,760.9543457,0.003266508225,760.9543457,0.003913234454,760.9543457,0.005306161009,
759.9665527,0.0010442778,759.9665527,-0.006720281672,759.9665527,-0.005791865755,759.9665527,-0.005056063179,759.9665527,-0.004020475782,759.9665527,-0.002479102695,759.9665527,-0.002829367062,759.9665527,-0.00230095489,759.9665527,-0.0009758392698,759.9665527,0.002044229535,759.9665527,0.00729988981,759.9665527,0.005731663201,759.9665527,0.006947491784,
758.9783325,-0.001305071404,758.9783325,-0.006125840358,758.9783325,-0.005190268625,758.9783325,-0.005341052543,758.9783325,0.001021625591,758.9783325,-0.004013345577,758.9783325,-0.003633026499,758.9783325,-0.003233309835,758.9783325,0.001121221343,758.9783325,0.002432313748,758.9783325,0.007975645363,758.9783325,0.003926738631,758.9783325,0.007360967342,
757.9898071,-0.0007323175087,757.9898071,-0.008638229221,757.9898071,-0.008661727421,757.9898071,-0.01077996753,757.9898071,-0.004862638656,757.9898071,-0.003837930039,757.9898071,-0.01019652188,757.9898071,-0.00257293554,757.9898071,1.343502572E-5,757.9898071,0.0005803627428,757.9898071,0.003478810424,757.9898071,0.001795975142,757.9898071,0.00331390067,
