baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_4.5,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.0546265,8.993716619E-5,781.0546265,0.005773292389,781.0546265,0.006868799217,781.0546265,0.005316983443,781.0546265,0.008927357383,781.0546265,0.007260141429,781.0546265,0.01031185873,781.0546265,0.006622135174,781.0546265,0.0122642573,781.0546265,0.01887563616,781.0546265,0.01453486923,781.0546265,0.01243840903,781.0546265,0.01184377447,781.0546265,0.009234904312,781.0546265,0.02403436787,781.0546265,0.01958953589,781.0546265,0.01696252637,781.0546265,0.01431396417,781.0546265,0.01914083026,
779.9342041,0.0003297311778,779.9342041,0.007555736694,779.9342041,0.00876266323,779.9342041,0.009312995709,779.9342041,0.01132949721,779.9342041,0.009951896966,779.9342041,0.01159942802,779.9342041,0.01118240319,779.9342041,0.01562863216,779.9342041,0.02028380707,779.9342041,0.01547422726,779.9342041,0.01439163648,779.9342041,0.01487751491,779.9342041,0.01126966532,779.9342041,0.02368303016,779.9342041,0.01766703278,779.9342041,0.01904989034,779.9342041,0.01713752374,779.9342041,0.02418615483,
778.9533691,0.0001824567444,778.9533691,0.005989920814,778.9533691,0.007450757083,778.9533691,0.008468569256,778.9533691,0.007199077867,778.9533691,0.009405649267,778.9533691,0.00784918759,778.9533691,0.01436172146,778.9533691,0.01420145389,778.9533691,0.01760386862,778.9533691,0.01439043228,778.9533691,0.0105656134,778.9533691,0.01349036768,778.9533691,0.01473151706,778.9533691,0.02384300716,778.9533691,0.01910755783,778.9533691,0.01949054189,778.9533691,0.0195963867,778.9533691,0.0209784843,
777.972229,-0.002119951881,777.972229,0.005406508688,777.972229,0.005773475859,777.972229,0.006258915178,777.972229,0.02003355511,777.972229,0.008476302959,777.972229,0.00957042817,777.972229,0.009707421064,777.972229,0.01294152066,777.972229,0.01751987822,777.972229,0.01421704702,777.972229,0.01307699271,777.972229,0.01060508285,777.972229,0.0140812723,777.972229,0.02297190018,777.972229,0.01744323596,777.972229,0.0215783678,777.972229,0.0204839725,777.972229,0.02367532067,
776.9906616,-0.0005492633791,776.9906616,0.006752916612,776.9906616,0.00835845992,776.9906616,0.0136607904,776.9906616,0.008618865162,776.9906616,0.009447366931,776.9906616,0.009381101467,776.9906616,0.009560795501,776.9906616,0.01870269515,776.9906616,0.02134936489,776.9906616,0.01437793579,776.9906616,0.01416090876,776.9906616,0.01504250709,776.9906616,0.01610520482,776.9906616,0.02257934399,776.9906616,0.02017855272,776.9906616,0.01617220975,776.9906616,0.02494895458,776.9906616,0.02360427938,
776.0087891,0.001666444237,776.0087891,0.005511912517,776.0087891,0.006361479405,776.0087891,0.008447610773,776.0087891,0.00977349747,776.0087891,0.01270473842,776.0087891,0.01156372298,776.0087891,0.01051935926,776.0087891,0.01669586077,776.0087891,0.01866999641,776.0087891,0.014088572,776.0087891,0.01142590493,776.0087891,0.0151994396,776.0087891,0.01505373605,776.0087891,0.02182491124,776.0087891,0.02343988232,776.0087891,0.0160979256,776.0087891,0.01876345091,776.0087891,0.01921747625,
775.0264893,0.0003033859539,775.0264893,0.004305006005,775.0264893,0.004712204449,775.0264893,0.00813487079,775.0264893,0.009189848788,775.0264893,0.006716031116,775.0264893,0.007081054617,775.0264893,0.007947988808,775.0264893,0.01389983203,775.0264893,0.0204887744,775.0264893,0.01312888321,775.0264893,0.009756474756,775.0264893,0.01192970667,775.0264893,0.01263927948,775.0264893,0.0208466351,775.0264893,0.02384962514,775.0264893,0.01779983379,775.0264893,0.01945648342,775.0264893,0.02151199244,
774.0438843,-0.001954077976,774.0438843,0.004361480474,774.0438843,0.01006400026,774.0438843,0.007621802855,774.0438843,0.01379325427,774.0438843,0.007650203072,774.0438843,0.00858630985,774.0438843,0.009208939038,774.0438843,0.01431230549,774.0438843,0.01639610529,774.0438843,0.01368122641,774.0438843,0.01218259893,774.0438843,0.01278748084,774.0438843,0.01411614101,774.0438843,0.02137419023,774.0438843,0.01853962988,774.0438843,0.01569907926,774.0438843,0.01762629673,774.0438843,0.02425597794,
773.0608521,-0.0001253217779,773.0608521,0.005990603007,773.0608521,0.007615427487,773.0608521,0.01488764025,773.0608521,0.006211882923,773.0608521,0.008299062029,773.0608521,0.007878103293,773.0608521,0.007154759485,773.0608521,0.02058663964,773.0608521,0.02138058096,773.0608521,0.01304223388,773.0608521,0.013174803,773.0608521,0.01210995205,773.0608521,0.01204665937,773.0608521,0.02282422036,773.0608521,0.02066023089,773.0608521,0.01560448203,773.0608521,0.01542846672,773.0608521,0.02159207873,
771.9370117,-0.002177495742,771.9370117,0.004872750957,771.9370117,0.005601294339,771.9370117,0.008326029405,771.9370117,0.006891101133,771.9370117,0.007380056195,771.9370117,0.00707797613,771.9370117,0.009832223877,771.9370117,0.01058757585,771.9370117,0.01740971394,771.9370117,0.01090341527,771.9370117,0.006639535539,771.9370117,0.01098146196,771.9370117,0.01342743356,771.9370117,0.01614536904,771.9370117,0.02195313573,771.9370117,0.01377484389,771.9370117,0.02052619867,771.9370117,0.01974671148,
