baseline,,bm3,,dmso_1.0,,dmso_2.0,,ArachadionicAcid_0.5,,ArachadionicAcid_1.0,,ArachadionicAcid_1.5,,ArachadionicAcid_2.0,,ArachadionicAcid_2.5,,ArachadionicAcid_3.0,,ArachadionicAcid_3.5,,ArachadionicAcid_4.0,,ArachadionicAcid_5.0,,ArachadionicAcid_6.0,,ArachadionicAcid_7.0,,ArachadionicAcid_7.0,,ArachadionicAcid_8.0,,ArachadionicAcid_9.0,,ArachadionicAcid_10.0,,ArachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
781.0546265,0.001822879072,781.0546265,0.00127948483,781.0546265,0.003150305012,781.0546265,0.001995077124,781.0546265,0.004824376199,781.0546265,0.003915532958,781.0546265,0.005964673124,781.0546265,0.007328505628,781.0546265,0.006145321764,781.0546265,0.006845525466,781.0546265,0.008685383946,781.0546265,0.005958505906,781.0546265,0.01875834353,781.0546265,0.0263828747,781.0546265,0.02179959789,781.0546265,0.05639976263,781.0546265,0.01468321029,781.0546265,0.02249234356,781.0546265,0.0978672877,781.0546265,0.01208418701,
779.9342041,-0.0001506302069,779.9342041,-0.0006404123851,779.9342041,0.0008206352359,779.9342041,-0.001442969078,779.9342041,0.001708204858,779.9342041,0.0003665705444,779.9342041,0.007048639935,779.9342041,0.005803040694,779.9342041,0.006487662438,779.9342041,0.00375408656,779.9342041,0.006358379498,779.9342041,0.004648907576,779.9342041,0.0155527778,779.9342041,0.02355336398,779.9342041,0.01912595145,779.9342041,0.05013700947,779.9342041,0.008572659455,779.9342041,0.02326866612,779.9342041,0.0920137763,779.9342041,0.009879728779,
778.9533691,-0.002403476043,778.9533691,-0.00281481049,778.9533691,0.001456558239,778.9533691,0.002308812458,778.9533691,0.001746356953,778.9533691,0.0001655464293,778.9533691,0.003657696536,778.9533691,0.003973079845,778.9533691,0.00309198047,778.9533691,0.006439633202,778.9533691,0.01029460225,778.9533691,0.005810229108,778.9533691,0.01582945511,778.9533691,0.01913268678,778.9533691,0.02026929706,778.9533691,0.04760219529,778.9533691,0.01823905669,778.9533691,0.01832464337,778.9533691,0.09495565295,778.9533691,0.008134896867,
777.972229,0.001469362993,777.972229,-0.0003103136551,777.972229,-0.006535144988,777.972229,0.004080070648,777.972229,0.003231717041,777.972229,0.003546869382,777.972229,0.0041729738,777.972229,0.005224333145,777.972229,0.007058190648,777.972229,0.008593834005,777.972229,0.009483426809,777.972229,0.008037635125,777.972229,0.01923665963,777.972229,0.02354617603,777.972229,0.02188439108,777.972229,0.0464387238,777.972229,0.01409287751,777.972229,0.02196841128,777.972229,0.09183394164,777.972229,0.01335586049,
776.9906616,9.747160948E-5,776.9906616,-0.001054400578,776.9906616,-0.0002621974563,776.9906616,0.0004434717703,776.9906616,0.001566333696,776.9906616,-1.708470563E-6,776.9906616,0.005448420998,776.9906616,0.006051680539,776.9906616,0.001789009082,776.9906616,0.005190013442,776.9906616,0.009247491136,776.9906616,0.007705901749,776.9906616,0.01149221696,776.9906616,0.02411147207,776.9906616,0.02042275667,776.9906616,0.04697446525,776.9906616,0.01375028864,776.9906616,0.02091117017,776.9906616,0.09544974566,776.9906616,0.01069981698,
776.0087891,-5.798417988E-6,776.0087891,-1.723971218E-5,776.0087891,-0.000787720026,776.0087891,0.0008641821332,776.0087891,-0.0006616587634,776.0087891,0.0007395961438,776.0087891,0.001926012803,776.0087891,0.006830562372,776.0087891,0.003021125449,776.0087891,0.003508219495,776.0087891,0.004699041601,776.0087891,0.00649664877,776.0087891,0.021982871,776.0087891,0.02291079611,776.0087891,0.01922540367,776.0087891,0.04920973629,776.0087891,0.01458945032,776.0087891,0.0158367306,776.0087891,0.1044923216,776.0087891,0.01161676273,
775.0264893,0.000621345127,775.0264893,0.0002974798554,775.0264893,0.003906860948,775.0264893,0.004281241912,775.0264893,0.005510628223,775.0264893,0.006629889365,775.0264893,0.00611486705,775.0264893,0.004747114144,775.0264893,0.008254605345,775.0264893,0.001773647615,775.0264893,0.01212190371,775.0264893,0.008857498877,775.0264893,0.01807190105,775.0264893,0.02495896071,775.0264893,0.0227535367,775.0264893,0.05132544786,775.0264893,0.01932604425,775.0264893,0.02556030825,775.0264893,0.08941619843,775.0264893,0.01760853082,
774.0438843,-0.002099137288,774.0438843,0.0007118259091,774.0438843,0.0009856387042,774.0438843,-0.001434454927,774.0438843,-0.0002569716307,774.0438843,0.001403394854,774.0438843,0.003525364911,774.0438843,0.003432156518,774.0438843,0.003728002775,774.0438843,0.005047733895,774.0438843,0.007572752424,774.0438843,0.004550932441,774.0438843,0.01712389849,774.0438843,0.02615907975,774.0438843,0.0176242739,774.0438843,0.04777059704,774.0438843,0.01177240815,774.0438843,0.01374400966,774.0438843,0.09674245864,774.0438843,0.009145935066,
773.0608521,0.001617360394,773.0608521,0.00218399358,773.0608521,0.003825923195,773.0608521,0.003678189591,773.0608521,0.002557933098,773.0608521,0.007226871327,773.0608521,0.003314996138,773.0608521,0.001099732821,773.0608521,0.0103250863,773.0608521,0.005784992129,773.0608521,0.01041230839,773.0608521,0.006956434809,773.0608521,0.02023013309,773.0608521,0.02442254499,773.0608521,0.02124360763,773.0608521,0.04780281708,773.0608521,0.009792030789,773.0608521,0.01922632381,773.0608521,0.09240153432,773.0608521,0.0200759545,
771.9370117,0.001950792503,771.9370117,0.001669718418,771.9370117,0.0007825643988,771.9370117,0.007843677886,771.9370117,0.004561369773,771.9370117,0.003128611483,771.9370117,0.004334392957,771.9370117,0.00719012972,771.9370117,0.006675573532,771.9370117,0.01209155936,771.9370117,0.01238641422,771.9370117,0.007863842882,771.9370117,0.01972333342,771.9370117,0.01931724697,771.9370117,0.02096973732,771.9370117,0.05030727014,771.9370117,0.01070236415,771.9370117,0.02274614386,771.9370117,0.1072132513,771.9370117,0.02155674063,
