baseline,,bm3,,dmso_1,,dmso_2,,4-PhenylImidazole_0.1,,4-PhenylImidazole_0.2,,4-PhenylImidazole_0.3,,4-PhenylImidazole_0.4,,4-PhenylImidazole_0.5,,4-PhenylImidazole_0.6,,4-PhenylImidazole_0.7,,4-PhenylImidazole_0.8,,4-PhenylImidazole_0.9,,4-PhenylImidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
775.0264893,0.00123413105,775.0264893,0.004069252871,775.0264893,0.008028142154,775.0264893,0.008924133144,775.0264893,0.004453162197,775.0264893,0.00511101028,775.0264893,0.009611129761,775.0264893,0.006239087787,775.0264893,0.009898584336,775.0264893,0.01570098475,775.0264893,0.01414890029,775.0264893,0.007585343905,775.0264893,0.02445494197,775.0264893,0.01799081638,
774.0438843,-0.0002426907886,774.0438843,0.004300300498,774.0438843,0.007974564098,774.0438843,0.003224232234,774.0438843,0.003960984759,774.0438843,0.004115974996,774.0438843,0.01126615889,774.0438843,0.005685579963,774.0438843,0.007884429768,774.0438843,0.01542428229,774.0438843,0.0160939768,774.0438843,0.008869942278,774.0438843,0.02296608686,774.0438843,0.01609666273,
773.0608521,-0.0003826848115,773.0608521,0.004062720109,773.0608521,0.00580165023,773.0608521,0.003090963699,773.0608521,0.00182082539,773.0608521,0.002583113499,773.0608521,0.007772702724,773.0608521,0.004608694464,773.0608521,0.004092195071,773.0608521,0.01193720941,773.0608521,0.01769358851,773.0608521,0.006893704645,773.0608521,0.02977158688,773.0608521,0.0174881313,
771.9370117,0.0009428578196,771.9370117,0.002587514464,771.9370117,0.008576461114,771.9370117,0.007739525288,771.9370117,0.003903204342,771.9370117,0.005632421002,771.9370117,0.008749403991,771.9370117,0.006385725457,771.9370117,0.004141376354,771.9370117,0.01404779591,771.9370117,0.01584322751,771.9370117,0.007872198708,771.9370117,0.02638469078,771.9370117,0.01780218072,
770.9532471,6.125051732E-5,770.9532471,0.0050975997,770.9532471,0.009570349008,770.9532471,0.005337528884,770.9532471,0.003612746252,770.9532471,0.004896154627,770.9532471,0.01026849356,770.9532471,0.007738918997,770.9532471,0.004875237588,770.9532471,0.01437619701,770.9532471,0.01424970757,770.9532471,0.008381207474,770.9532471,0.02238862403,770.9532471,0.01760486513,
769.9690552,0.0002898642269,769.9690552,0.003908062819,769.9690552,0.006509261671,769.9690552,0.002026492497,769.9690552,0.006060631946,769.9690552,0.003751684446,769.9690552,0.008600144647,769.9690552,0.008315131068,769.9690552,0.0004807872465,769.9690552,0.01198428031,769.9690552,0.01323260274,769.9690552,0.006496754009,769.9690552,0.02440228313,769.9690552,0.0186740756,
768.9845581,0.001571841422,768.9845581,0.001684192684,768.9845581,0.006545788143,768.9845581,0.006054384634,768.9845581,0.00478438288,768.9845581,0.006817467045,768.9845581,0.007906862535,768.9845581,0.006027400959,768.9845581,0.003679024987,768.9845581,0.01390491053,768.9845581,0.0162822213,768.9845581,0.0104387179,768.9845581,0.024950983,768.9845581,0.01737094298,
767.9996948,-0.002676267177,767.9996948,0.0002317153412,767.9996948,0.004190641921,767.9996948,0.00383127667,767.9996948,0.002312299795,767.9996948,0.003665893571,767.9996948,0.005811016075,767.9996948,0.00359478849,767.9996948,0.002277532825,767.9996948,0.009937860072,767.9996948,0.01335377805,767.9996948,0.00493348809,767.9996948,0.01419995632,767.9996948,0.01576924138,
767.0144653,-0.0002680958714,767.0144653,-0.0003132625134,767.0144653,0.005636433139,767.0144653,0.004226241726,767.0144653,0.006305348128,767.0144653,0.005013559014,767.0144653,0.008886719123,767.0144653,0.00761158159,767.0144653,0.00408263132,767.0144653,0.01231298782,767.0144653,0.01548270416,767.0144653,0.007589611225,767.0144653,0.02241200954,767.0144653,0.01573711075,
766.0288696,0.002625874011,766.0288696,0.002502421848,766.0288696,0.007175154518,766.0288696,0.005480532534,766.0288696,0.008975450881,766.0288696,0.004630540498,766.0288696,0.01110878214,766.0288696,0.007516201586,766.0288696,0.005981994793,766.0288696,0.01324175671,766.0288696,0.01636433229,766.0288696,0.01198135316,766.0288696,0.0241267141,766.0288696,0.02002049051,
